@RELATION 'gasch20.names'

@ATTRIBUTE DES460_Plus_0point02%_MMS___5_min                                numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___15_min                               numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___30_min                               numeric
@ATTRIBUTE DES460_Plus_0point2%_MMS___45_min                                numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___60_min                               numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___90_min                               numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___120_min                              numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___5_min                          numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___15_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___30_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___45_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___60_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___90_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___120_min                        numeric
@ATTRIBUTE dun1__Plus_0point02%_MMs___30_min                                numeric
@ATTRIBUTE dun1__Plus_0point02%_MMS___90_min                                numeric
@ATTRIBUTE dun1__Plus_0point02%_MMS___120_min                               numeric
@ATTRIBUTE wt_plus_gamma_5_min                                              numeric
@ATTRIBUTE wt_plus_gamma_10_min                                             numeric
@ATTRIBUTE wt_plus_gamma_20_min                                             numeric
@ATTRIBUTE wt_plus_gamma_30_min                                             numeric
@ATTRIBUTE wt_plus_gamma_45_min                                             numeric
@ATTRIBUTE wt_plus_gamma_60_min                                             numeric
@ATTRIBUTE wt_plus_gamma_90_min                                             numeric
@ATTRIBUTE wt_plus_gamma_120_min                                            numeric
@ATTRIBUTE DES460_wt___mock_irradiation___5_min                             numeric
@ATTRIBUTE DES460_wt___mock_irradiation___30_min                            numeric
@ATTRIBUTE DES460_wt___mock_irradiation___60_min                            numeric
@ATTRIBUTE DES460_wt___mock_irradiation___90_min                            numeric
@ATTRIBUTE mec1_plus_gamma_5_min                                            numeric
@ATTRIBUTE mec1_plus_gamma_10_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_20_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_30_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_45_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_60_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_90_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_120_min                                          numeric
@ATTRIBUTE DES459_mec1___mock_irradiation___5_min                           numeric
@ATTRIBUTE DES459_mec1___mock_irradiation___30_min                          numeric
@ATTRIBUTE DES459_mec1___mock_irradiation___60_min                          numeric
@ATTRIBUTE DES460_wild_type_Plus_heat_20_min                                numeric
@ATTRIBUTE DES459_mec1_Plus_heat_20_min                                     numeric
@ATTRIBUTE MHY1_dun1_Plus_heat_20_min                                       numeric
@ATTRIBUTE DES460_vs_DES460_YPD_log_phase_control                           numeric
@ATTRIBUTE DES459_mec1___log_phase_IR_time_=_0_sample                       numeric
@ATTRIBUTE DES459_mec1___log_phase_MMS_time_=_0_sample                      numeric
@ATTRIBUTE DES460wt_vs_DES459mec1_genomic_DNA_comparison                    numeric
@ATTRIBUTE DES460wt_vs_DES459mec1_genomic_DNA_comparison_#2                 numeric
@ATTRIBUTE DES460_genomic_DNA_vs_MHY26_dun1_genomic_DNA                     numeric
@ATTRIBUTE MHY1_crt1_vs_CRY1_wild_type                                      numeric
@ATTRIBUTE MHY1_crt1_vs_CRY1_wild_type___log_phase                          numeric
@ATTRIBUTE pRS_ROX1_GAL_media                                               numeric
@ATTRIBUTE class                                                            hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03,01/01/09/03/01,01/01/09/04,01/01/09/04/01,01/01/09/04/02,01/01/09/05,01/01/09/05/01,01/01/09/06,01/01/09/06/01,01/01/09/06/02,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/01,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/13,01/02,01/02/02,01/02/02/09,01/02/02/09/01,01/02/02/09/05,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/04,01/05/02/07,01/05/03,01/05/03/01,01/05/03/01/04,01/05/03/02,01/05/03/02/04,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/11/07,01/05/11/07/01,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/01,01/20/01/01,01/20/01/07,01/20/05,01/20/05/09,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/05,01/20/27,01/20/31,01/20/33,01/20/37,01/20/37/01,01/25,01/25/01,02,02/01,02/01/01,02/01/03,02/04,02/07,02/07/01,02/08,02/10,02/11,02/11/05,02/13,02/13/01,02/13/03,02/13/05,02/16,02/16/01,02/16/03,02/16/09,02/16/11,02/16/13,02/19,02/25,02/45,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/02,16,16/01,16/02,16/03,16/03/01,16/03/03,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/17,16/17/01,16/17/07,16/17/09,16/19,16/19/01,16/19/03,16/19/05,16/21,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/09,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/02/02,20/03/02/03,20/03/02/03/01,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/25,20/09/07/27,20/09/07/29,20/09/13,20/09/14,20/09/14/02,20/09/16,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/09,20/09/18/09/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/03,30/01/05/05,30/01/05/05/01,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/01/10,30/05/02,30/05/02/24,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/05,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,32/10,32/10/03,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/07,34/07/01,34/07/02,34/11,34/11/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,38,38/07,40,40/01,40/01/03,40/01/03/01,40/01/05,40/01/05/01,40/10,40/10/02,40/10/02/01,40/10/02/02,40/10/02/02/01,40/10/02/03,40/10/02/03/02,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/05,42/07,42/08,42/09,42/10,42/10/03,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/27,42/27/03,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/09,99

@DATA
0.128,0.095,0.042,-0.114,-0.089,-0.304,-0.617,-0.187,-0.015,0.073,0.199,0.122,0.067,-0.015,-0.253,-0.509,-0.496,0.486,-0.203,-0.595,-1.238,0.36,0.471,-1.139,-0.398,-0.422,1.566,0.566,0.553,1.21,0.353,-0.255,-0.141,0.505,0.661,0.186,-0.039,0.899,-0.142,0.258,1.36,1.412,0.57,-0.191,-0.888,-1.767,-0.069,0.203,0.601,0.413,-0.495,0.551,01/01@20/01/07@20/09/18
0.084,0.247,0.239,0.399,0.293,?,0.11,?,0.007,-0.258,-0.009,0.16,0.1,-0.138,?,?,-0.585,-1.065,-0.265,0.034,0.673,0.046,0.027,0.283,0.192,0.063,0.922,0.487,0.195,-0.639,-0.535,-0.794,-0.384,-0.54,-0.038,0.114,0.037,0.588,0.416,0.424,-0.528,-1.509,-0.869,-0.134,1.246,1.328,0.82,-0.499,?,0.101,-0.306,-0.033,01/04@10/03/01/03@10/03/03@14/07/03@42/29@43/01/03/05
-0.217,0.302,0.474,0.45,0.335,0.613,0.318,-0.092,0.277,2.585,0.33,0.304,0.417,0.305,0.253,0.329,0.2,0.735,-0.552,0.238,0.321,-0.19,0.743,0.23,0.564,-0.133,-0.007,-0.086,0.358,0.412,0.337,0.175,0.263,-0.164,0.044,0.074,0.131,0.294,-0.075,-0.138,0.768,0.771,0.363,?,0.353,0.478,-0.115,0.117,-1.031,?,-0.303,0.117,12/10
-0.01,0.089,0.112,0.24,0.099,-0.023,0.13,0.5,0.334,0.307,0.641,0.467,0.356,0.291,0.17,0.26,0.25,-0.342,0.109,-0.153,-0.05,-0.025,-0.315,-0.413,-0.373,-0.51,-0.09,-0.411,-0.564,-0.165,-0.184,-0.023,0.081,-0.308,0.267,-0.161,-0.289,0.123,-0.098,0,0.21,-0.29,-0.617,-0.225,0.105,0.287,0.028,0.267,0.098,-0.19,-0.072,-0.171,01/03/01@01/03/10@01/04
-0.004,-0.22,-0.07,-0.09,-0.07,0,0,0.105,0.06,0.22,0.29,0.2,0.18,0.06,0.052,0.1,0.104,0.106,-0.339,-0.274,0.237,0.222,-0.183,-0.425,-0.172,0.031,0.046,0.368,-0.356,-0.099,0.162,-0.004,0.326,-0.318,-0.39,-0.129,-0.084,0.183,-0.453,-0.054,-0.64,-0.62,-0.27,-0.333,0.046,-0.424,0.09,0.246,-0.045,-0.051,-0.042,-0.39,10/01/03@10/03/01@10/03/02@10/03/04/05@40/01@42/04@43/01/03/05@43/01/03/09
0.02,0.028,-0.123,0.098,0.037,0.022,-0.061,0.197,-0.117,-0.169,-0.067,0.046,-0.042,-0.085,0.17,0.25,0.14,-0.248,0.013,-0.436,-0.288,-0.319,-0.414,-0.242,-0.238,-0.41,0.042,-0.274,-0.217,-0.182,-0.056,0.288,0.069,-0.226,-0.155,-0.085,-0.022,-1.019,-0.347,-0.164,-0.458,-0.201,-0.462,-0.581,-1.133,-0.629,-0.076,0.233,-0.13,0.244,-0.265,-0.214,10/01/03@10/01/09/05
-0.13,0.18,0.46,0.35,0.26,0.19,0.36,-0.18,0.06,0.12,0.38,0.04,0.565,0.26,-0.06,0,0.22,0.47,0.16,0,-0.1,0.02,-0.34,-0.38,-0.26,0.16,0.02,-0.38,-0.32,0,-0.07,-0.23,-0.19,-0.51,-0.34,-0.532,-0.18,0.31,-0.07,-0.18,-0.15,-0.14,0.15,0.14,0.187,-0.07,0.11,-0.11,-0.04,0.09,-0.12,0.23,01/04@10/03/01@10/03/02@14/07/03
-0.005,0.15,0.12,0.16,0.09,0.15,0.29,0.455,0.34,0.2,0.39,0.59,0.33,0.29,0.3,0.286,0.302,0.26,-0.045,-0.131,0.073,0.105,-0.23,-0.044,0.066,-0.196,-0.383,-0.352,-0.406,0.107,0.065,0.488,0.604,0.444,0.338,0.08,0.04,-1.674,-0.058,0.002,0.53,0.46,0,0.267,-0.084,-0.254,-0.115,0.214,?,-0.144,0.073,-0.07,01/05/13/01@11/04/03/03
0.036,0.169,0.084,0.283,0.067,-0.021,0.194,-0.04,-0.236,0.126,0.101,-0.017,-0.166,-0.051,0.04,-0.035,-0.086,-0.606,0.016,-0.203,-0.018,-0.466,-0.398,-0.142,-0.251,0.124,0.504,0.256,0.118,-0.478,-0.366,-0.466,-0.06,0.007,0.107,-0.183,-0.433,0.698,0.386,0.453,0.075,0.463,-0.074,-0.079,-0.783,-0.193,-0.053,0.214,0.08,0.166,0.102,-0.212,01/04@10/03/01@14/07/03@30/01/05/01/03@32/01@40/01/03@43/01/03/05
-0.179,0.056,-0.071,0.242,0.014,0.109,-0.123,0.272,0.465,0.35,0.466,0.419,?,0.341,0.072,0,0.091,-0.248,0.233,0.164,0.271,0.409,0.622,-0.119,-0.23,0.016,0.165,-0.189,-0.074,0.192,0.542,0.42,0.642,0.154,0.248,0.005,0.121,0.222,0.114,0.521,0.304,0.195,-0.003,-0.24,0.323,-0.295,-0.106,0.105,0.06,-0.054,-0.105,0.282,11/02/03/04@16/03/01
0.184,0.416,0.429,0.501,0.561,0.703,0.69,?,-0.227,0.38,0.211,0.265,0.138,0.395,0.458,0.454,0.423,-0.101,-0.096,0.346,0.674,0.621,0.024,0.488,0.445,-0.147,0.491,-0.1,-0.359,-1.059,-1.055,-1.065,-0.58,-1.011,-0.701,-0.395,-0.181,0.624,-0.302,-0.263,-0.064,-0.554,-0.303,0.26,0.196,-0.374,0.075,0.166,-0.09,-0.049,-0.656,0.109,01/20/19/01@20/01/01/01/01@20/09/18@34/01/01/01
0.404,0.173,0.023,-0.207,0.12,0.379,0.127,-0.357,-0.421,-0.345,-0.321,-0.167,-0.112,0.104,-1,-0.688,-0.608,2.176,0.766,0.185,0.141,-0.303,-0.566,0.11,0.392,0.448,-0.044,0.017,0.29,1.318,0.338,-0.755,-0.403,-0.967,-0.861,-0.6,-0.317,1.55,0.146,0.239,-0.407,0.49,-0.289,0.242,0.588,0.19,0.792,-0.574,-0.015,0.034,-0.483,-0.52,01/05/25@20/01/03/01@30
0.247,0.04,0.06,-0.12,-0.08,-0.07,-0.1,-0.285,-0.31,-0.02,-0.23,-0.28,-0.21,-0.12,-0.192,-0.156,-0.178,-0.124,-0.163,-0.328,-0.2,-0.259,-0.59,-0.111,-0.029,0.265,0.266,0.264,0.054,-0.769,-0.854,-1.18,-0.63,-1.069,-0.484,-0.624,-0.129,0.643,0.052,0.214,-0.25,-0.58,-0.5,-0.678,-0.357,-0.599,0.038,0.221,0.137,-0.019,-0.298,-0.204,11/02/03/04/03
-0.435,-0.578,-0.823,-0.783,-0.744,-1.29,-0.936,-0.511,-0.471,-0.356,-0.196,-0.151,-0.148,-0.117,-0.663,-0.837,-0.624,-0.966,-0.316,-0.352,-0.357,-0.402,-0.636,-0.413,-0.743,-0.15,0.676,0.023,-0.082,-1.362,-0.744,-0.96,-1.308,-1.009,-0.197,-0.781,-0.037,0.598,?,0.137,-1.04,-0.737,-0.442,-0.17,0.042,?,-0.123,0.098,0.051,-0.173,-0.457,0.27,11/04/03/01@12/04/01
0.05,0.43,0.89,0.57,0.683,0.669,0.7,0.14,0.02,-0.09,-0.06,-0.194,-0.13,-0.251,0.26,0.12,0.05,0.74,1.3,1.12,0.93,0.23,0.75,0.27,-0.05,0.27,0.36,0.61,0.5,0.56,0.66,0.14,0.28,-0.08,0.15,-0.09,-0.42,0.5,0.52,0.45,1.82,2.15,1.33,0.06,0.465,0.627,-0.3,0.02,0.16,-0.139,-0.49,0.43,16/19/03@20/01/27@20/03/22@20/03/25@32/05/01/03
0.1,0.023,0.24,0.149,0.191,0.21,0.293,0.32,0.353,0.514,0.685,0.579,0.566,0.84,0.31,0.44,0.42,-0.031,0.446,0.352,0.384,0.188,0.064,-0.506,-0.065,-0.296,-0.465,-0.844,-0.831,-0.136,-0.256,-0.11,-0.029,-0.16,-0.213,-0.182,-0.003,-0.94,-0.712,-0.855,0.884,0.518,0.117,0.054,0.532,0.648,-0.042,0.177,-0.2,-0.872,0.027,-0.143,10/03/01
0.132,0.22,0.37,0.48,0.27,0.25,0.16,0.392,0.51,0.57,0.64,0.56,0.65,0.34,0.58,0.455,0.44,-0.06,0.23,0.2,0.21,0.19,-0.31,-0.19,-0.28,-0.055,-0.246,-0.63,-0.027,0.28,-0.12,-0.19,0.1,-0.14,0.07,0.05,-0.1,-0.938,-0.403,-0.178,1.01,1.06,0.76,0.02,-0.439,?,-0.16,0.283,-0.12,-0.402,-0.1,0.146,16/01@20/01/10@20/09/07/03@20/09/16@20/09/18@42/25
-0.033,-0.312,-0.159,0.059,-0.259,-0.125,-0.03,-0.124,-0.413,-1.184,-0.23,-0.13,-0.141,0.032,-0.015,-0.052,0.126,0.645,0.755,0.229,0.637,0.32,0.238,0.405,0.092,0.109,0.58,0.384,0.457,0.666,0.055,0.056,0.094,-0.087,0.053,0.19,0,-0.279,0.51,0.575,0.3,0.562,0,-0.07,0.102,?,?,-0.056,0.235,?,0.211,?,42/01@43/01/03/05
-0.01,?,-0.48,-0.284,-0.198,-0.403,-0.345,-0.78,-0.85,-0.333,-0.811,-1.045,-0.771,-0.902,-0.68,-0.63,-0.67,-0.146,0.135,-0.057,-0.457,-0.331,-0.298,0.077,-0.358,-0.009,0.551,0.693,0.583,-0.243,?,-0.24,-0.299,-0.824,-0.584,0.75,0.093,1.031,0.249,0.549,-0.443,0.177,0.084,-0.007,-0.254,-0.528,-0.047,0.151,-0.221,0.031,-0.207,0.147,01/05/25@11/02/03/01@11/02/03/04/01@16/03/01@18/02/09@20/01/03/01
?,-0.41,0.185,0.05,-0.295,0.037,0.215,?,0.239,-0.004,-0.12,-0.237,-0.13,0.101,0,?,?,0.441,0.006,0.46,0.067,0.049,0.366,-0.22,0.252,0.371,0.044,0.278,-0.062,0.489,0.527,0.28,0.324,0.208,0.097,-0.128,-0.013,-0.417,-0.15,-0.301,0.84,0.627,0.345,0.284,-0.24,-0.264,-0.197,-0.005,0.427,-0.581,-0.477,0.336,02/13/03@14/10
-0.005,-0.08,0.22,0.12,0.04,-0.259,0.38,-0.01,0.112,-0.01,0.13,0.26,0.16,0.789,0.06,-0.13,-0.11,1.23,0.48,0.219,0.29,-0.25,0.84,0.73,1.029,0.31,0.2,-0.03,0.19,0.2,-0.15,0.02,?,0.29,0.2,-0.061,0.326,0.52,-0.1,-0.02,-1.09,-1.05,-0.68,0.285,4.222,?,-0.31,-0.06,-0.169,0.058,-1.037,0.56,02/45@16/21/05@20/01/15
0.016,0.56,0.62,0.63,0.44,0.38,0.41,0.75,0.13,-0.14,0.3,0.04,0.26,0.205,0.08,0.18,0.03,0.01,-0.05,-0.07,-0.31,-0.09,-0.15,0.11,-0.16,0.08,0.06,0.1,-0.14,-0.06,0.15,0.45,0.14,0.41,0.35,0.634,0.02,-0.61,0.11,-0.36,-0.82,0.209,0.11,0.17,-0.409,?,-0.34,0.01,0.22,-0.241,0.23,0.34,01/04@11/02/03/01/01@11/02/03/01/07@11/02/03/04@11/04/01@14/07/03@18/01/01@18/02/01@30/01/05/01
-0.009,-0.216,-0.213,-0.139,0.1,0.177,0.222,0.097,0.126,0.019,0.18,0.198,0.146,0.063,-0.039,0.236,0.062,-0.083,0.335,-0.268,0.019,0.097,0.301,0.16,-0.081,-0.056,-0.096,-0.455,-0.612,0.004,-0.102,0.309,-0.081,0.142,0.073,-0.04,0,0.411,-0.495,-0.138,-0.487,-0.628,-0.244,0.363,-0.354,-0.827,-0.225,0.103,-0.176,-0.557,-0.061,-0.454,20/09/01
0.154,-0.354,0.407,-0.114,-0.036,-0.261,-0.057,0.665,0.537,0.267,0.735,0.915,0.562,0.507,0.304,0.165,0.23,0.021,0.188,0.472,0.496,0.469,0.742,-0.172,?,0.2,0.026,-0.278,-0.422,0.462,0.875,0.553,0.664,0.162,0.094,0.31,0.097,-0.214,0.106,-0.245,0.258,-0.019,-0.157,-0.002,0.351,-0.071,?,0.269,-0.268,-0.341,-0.069,0.257,11/02/03/01/01@11/02/03/04
-0.154,-0.496,-0.204,-0.471,-0.464,-0.349,-0.456,-0.193,-0.194,0.038,0.079,-0.04,0.04,0.004,-0.251,-0.325,-0.178,-0.078,0,0.226,0.008,0.08,-0.074,-0.014,-0.499,0.159,0.224,0.474,0.53,0.084,0.009,-0.076,0.039,0.232,0.167,0.092,-0.405,0.043,0.604,0.349,0.525,0.668,0.354,0.015,-0.025,-0.3,-0.315,-0.008,-0.231,0.539,-0.254,0.097,14/04@20/01/21@20/09/01
-0.265,0.065,0.263,0.008,0.244,0.301,0.293,0.109,0.102,0.177,0.149,0.025,0.118,0.321,0.101,0.221,0.247,-0.032,0.573,-0.083,-0.118,0.034,0.103,0.078,0.501,-0.011,0.677,0.823,0.787,0.306,0.061,-0.065,-0.237,-0.109,0.185,0.335,0.478,0.033,0.076,-0.032,0.039,0.067,0.155,0.067,-0.571,-0.23,-0.257,0.193,0.12,-0.172,-0.147,0.552,20/09/07/03@20/09/07/25@42/09
0.16,0.17,-0.118,-0.092,0.087,0.022,0.161,0.2,0.102,-0.067,0.086,0.157,0.166,0.342,0.14,0.06,0.16,0.245,0.155,-0.213,-0.009,0.082,-0.314,0.157,0.186,-0.255,0.14,0.157,0.171,-0.205,-0.276,-0.486,-0.324,-0.281,0.069,0.041,0.032,-0.299,-0.471,-0.466,-0.312,-0.592,-0.515,-0.035,-0.225,-0.031,0.034,0.195,-0.331,-0.408,-0.177,-0.424,20/01/01/01@20/01/15@20/03/22@34/01/01/03
-0.015,-0.089,0.329,0.367,0.293,0.466,0.079,0.1,0.127,0.134,0.514,0.409,0.351,0.44,-0.172,0.091,0.128,0.125,?,0.084,0.056,0.271,0.046,-0.195,-0.102,-0.03,0.402,-0.691,0.258,-0.165,-0.38,-0.071,-0.062,0.092,-0.073,0,0.028,0.28,0.038,-0.158,0.385,0.416,0.603,-0.21,0.137,?,0.846,-0.581,-0.05,0.166,-0.069,-0.056,01/01/03/05@01/01/13@01/04@01/06/02/01@11/02/03/04@30/01/09/11@43/01/03/09
-0.25,0.189,0.573,-0.049,0.234,-0.046,-0.016,-0.3,-0.089,0.197,-0.083,0.039,-0.048,0,0,-0.49,-0.49,0.142,0.054,-0.287,-0.422,-0.333,-0.076,-0.536,0.098,0.194,0.664,0.099,0.194,-0.121,-0.275,-0.008,-0.056,-0.239,-0.155,-0.354,-0.038,0.409,0.23,0.331,-0.788,-0.412,-0.19,-0.048,-0.227,-0.428,-0.155,0.024,0.741,0.102,-0.624,0.391,16/01@20/09/03@42/19
-0.131,0.111,0.017,-0.063,-0.052,-0.175,-0.165,-0.288,-0.18,-0.231,-0.324,-0.131,-0.25,-0.075,-0.096,-0.154,-0.196,-0.712,-0.427,-0.347,-0.388,-0.419,-0.354,-0.311,-0.38,-0.247,0.178,-0.148,-0.1,-0.419,-0.519,-0.475,-0.58,-1.005,-0.67,-0.491,-0.335,0.451,0.163,0.263,-0.738,-0.437,-0.42,-0.139,-0.975,-1.193,0.031,0.294,-0.342,?,-0.17,-0.127,10/03/01/01/11@10/03/05/01@42/04/05
-0.171,0.013,-0.163,-0.239,-0.002,0.113,-0.181,-0.069,-0.042,0.065,-0.177,-0.219,-0.118,0.117,-0.123,0.122,0.348,-0.49,-0.137,-0.226,-0.324,-0.092,-0.265,-0.188,-0.283,-0.245,-0.193,-0.257,-0.283,0.011,0.053,0.431,0.045,0.377,0.199,0.111,0.113,0.12,-0.608,-0.102,-0.724,-0.203,0.249,-0.079,-0.47,-0.413,-0.142,0.258,0.23,-0.286,-0.065,0.27,10/01/05@10/01/09/05@10/03/04/05@11/02/03/01/04@11/02/03/04
0.239,-0.27,0.08,0.06,-0.13,-0.13,-0.14,0.147,0.25,0.21,0.57,0.23,0.26,0.32,-0.153,0.053,0.318,0.192,0.429,0.123,0.13,0.067,0.089,-0.326,-0.128,0.094,-0.067,-1.102,-0.499,-0.049,-0.156,-0.359,0.198,0.031,-0.003,0.07,0.064,0.124,-0.023,-0.127,-0.28,-0.51,-0.32,-0.133,0.161,-0.038,0.096,0.233,-0.096,-0.128,0.163,0.114,10/01/03/05@10/01/05/01@10/01/09/05
0.216,-0.265,-0.046,?,-0.123,-0.121,-0.059,0.034,0.224,0.189,0.132,-0.011,0.194,0.293,-0.196,-0.004,0.057,-0.322,0.097,-0.025,-0.235,0.052,0.37,0.111,0.235,-0.35,0.184,0.257,0.135,-0.221,-0.241,-0.299,-0.406,0.103,0.276,0.173,-0.234,-0.112,0.123,0.128,-0.143,-0.534,-0.221,0.126,-0.482,-0.072,-0.139,0.095,0.105,-0.187,-0.138,0.188,01/05/03/02/04@14/07/02@14/10
-0.138,-0.602,-0.396,-0.503,-0.488,-0.466,?,-0.126,0.012,0.041,-0.078,-0.298,-0.013,-0.117,-0.322,-0.023,-0.095,0.122,0.289,0.193,0.516,0.324,0.325,-0.211,-0.506,-0.281,-0.23,-0.913,-0.627,-0.304,0.045,0.138,0.278,0.338,0.092,0.107,-0.036,-0.922,-0.226,-0.438,0.018,-0.557,-0.171,0.427,0.48,0.267,-0.092,0.003,-0.364,-0.573,-0.029,-0.382,10/01/03@42/10/03
